10800	1	8	0
10801	1	8	1
10802	1	8	2
10803	1	8	3
10804	1	8	4
10805	1	8	5
10806	1	8	6
10807	1	8	7
10808	1	8	8
10809	1	8	9
10810	1	8	10
10811	1	8	11
10812	1	8	12
10813	1	8	13
10814	1	8	14
10815	1	8	15
10816	1	8	16
10817	1	8	17
10818	1	8	18
10819	1	8	19
10820	1	8	20
10821	1	8	21
10822	1	8	22
10823	1	8	23
10824	1	8	24
10825	1	8	25
10826	1	8	26
10827	1	8	27
10828	1	8	28
10829	1	8	29
10830	1	8	30
10831	1	8	31
10832	1	8	32
10833	1	8	33
10834	1	8	34
10835	1	8	35
10836	1	8	36
10837	1	8	37
10838	1	8	38
10839	1	8	39
10840	1	8	40
10841	1	8	41
10842	1	8	42
10843	1	8	43
10844	1	8	44
10845	1	8	45
10846	1	8	46
10847	1	8	47
10848	1	8	48
10849	1	8	49
10850	1	8	50
10851	1	8	51
10852	1	8	52
10853	1	8	53
10854	1	8	54
10855	1	8	55
10856	1	8	56
10857	1	8	57
10858	1	8	58
10859	1	8	59
10860	1	8	60
10861	1	8	61
10862	1	8	62
10863	1	8	63
10900	1	9	0
10901	1	9	1
10902	1	9	2
10903	1	9	3
10904	1	9	4
10905	1	9	5
10906	1	9	6
10907	1	9	7
10908	1	9	8
10909	1	9	9
10910	1	9	10
10911	1	9	11
10912	1	9	12
10913	1	9	13
10914	1	9	14
10915	1	9	15
10916	1	9	16
10917	1	9	17
10918	1	9	18
10919	1	9	19
10920	1	9	20
10921	1	9	21
10922	1	9	22
10923	1	9	23
10924	1	9	24
10925	1	9	25
10926	1	9	26
10927	1	9	27
10928	1	9	28
10929	1	9	29
10930	1	9	30
10931	1	9	31
2303	1	9	32
2302	1	9	33
2301	1	9	34
2300	1	9	35
2299	1	9	36
2298	1	9	37
2297	1	9	38
2296	1	9	39
2295	1	9	40
2294	1	9	41
2293	1	9	42
2292	1	9	43
2291	1	9	44
2290	1	9	45
2289	1	9	46
2288	1	9	47
2287	1	9	48
2286	1	9	49
2285	1	9	50
2284	1	9	51
2283	1	9	52
2282	1	9	53
2281	1	9	54
2280	1	9	55
2279	1	9	56
2278	1	9	57
2277	1	9	58
2276	1	9	59
2275	1	9	60
2274	1	9	61
2273	1	9	62
2272	1	9	63
2271	1	10	0
2270	1	10	1
2269	1	10	2
2268	1	10	3
2267	1	10	4
2266	1	10	5
2265	1	10	6
2264	1	10	7
2263	1	10	8
2262	1	10	9
2261	1	10	10
2260	1	10	11
2259	1	10	12
2258	1	10	13
2257	1	10	14
2256	1	10	15
2255	1	10	16
2254	1	10	17
2253	1	10	18
2252	1	10	19
2251	1	10	20
2250	1	10	21
2249	1	10	22
2248	1	10	23
2247	1	10	24
2246	1	10	25
2245	1	10	26
2244	1	10	27
2243	1	10	28
2242	1	10	29
2241	1	10	30
2240	1	10	31
2239	1	10	32
2238	1	10	33
2237	1	10	34
2236	1	10	35
2235	1	10	36
2234	1	10	37
2233	1	10	38
2232	1	10	39
2231	1	10	40
2230	1	10	41
2229	1	10	42
2228	1	10	43
2227	1	10	44
2226	1	10	45
2225	1	10	46
2224	1	10	47
2223	1	10	48
2222	1	10	49
2221	1	10	50
2220	1	10	51
2219	1	10	52
2218	1	10	53
2217	1	10	54
2216	1	10	55
2215	1	10	56
2214	1	10	57
2213	1	10	58
2212	1	10	59
2211	1	10	60
2210	1	10	61
2209	1	10	62
2208	1	10	63
2207	1	11	0
2206	1	11	1
2205	1	11	2
2204	1	11	3
2203	1	11	4
2202	1	11	5
2201	1	11	6
2200	1	11	7
2199	1	11	8
2198	1	11	9
2197	1	11	10
2196	1	11	11
2195	1	11	12
2194	1	11	13
2193	1	11	14
2192	1	11	15
2191	1	11	16
2190	1	11	17
2189	1	11	18
2188	1	11	19
2187	1	11	20
2186	1	11	21
2185	1	11	22
2184	1	11	23
2183	1	11	24
2182	1	11	25
2181	1	11	26
2180	1	11	27
2179	1	11	28
2178	1	11	29
2177	1	11	30
2176	1	11	31
2175	1	11	32
2174	1	11	33
2173	1	11	34
2172	1	11	35
2171	1	11	36
2170	1	11	37
2169	1	11	38
2168	1	11	39
2167	1	11	40
2166	1	11	41
2165	1	11	42
2164	1	11	43
2163	1	11	44
2162	1	11	45
2161	1	11	46
2160	1	11	47
2159	1	11	48
2158	1	11	49
2157	1	11	50
2156	1	11	51
2155	1	11	52
2154	1	11	53
2153	1	11	54
2152	1	11	55
2151	1	11	56
2150	1	11	57
2149	1	11	58
2148	1	11	59
2147	1	11	60
2146	1	11	61
2145	1	11	62
2144	1	11	63
2143	1	12	0
2142	1	12	1
2141	1	12	2
2140	1	12	3
2139	1	12	4
2138	1	12	5
2137	1	12	6
2136	1	12	7
2135	1	12	8
2134	1	12	9
2133	1	12	10
2132	1	12	11
2131	1	12	12
2130	1	12	13
2129	1	12	14
2128	1	12	15
2127	1	12	16
2126	1	12	17
2125	1	12	18
2124	1	12	19
2123	1	12	20
2122	1	12	21
2121	1	12	22
2120	1	12	23
2119	1	12	24
2118	1	12	25
2117	1	12	26
2116	1	12	27
2115	1	12	28
2114	1	12	29
2113	1	12	30
2112	1	12	31
2111	1	12	32
2110	1	12	33
2109	1	12	34
2108	1	12	35
